segment_index,timestamp,primary_label,infrastructure_type,infrastructure_category,is_infrastructure_boolean,corresponding_gps_index,start_time,end_time,segment_length,segment_duration_sec,distance_to_infrastructure_m,gps_latitude,gps_longitude,gps_speed_kmh,folder_source,labeling_method
0,0.0,Normal Track,Normal Track,Normal Track,False,0,0.0,10.0,5000,10,282.09296536224406,60.7641505,15.0176548,138.250503540039,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
1,10.0,RailJoint,RailJoint,Infrastructure,True,200,10.0,20.0,5000,10,32.840657673637764,60.7526923,15.0185876,87.504997253418,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
2,20.0,Normal Track,Normal Track,Normal Track,False,400,20.0,30.0,5000,10,615.7975591649133,60.74534,15.0073596,90.0025024414062,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
3,30.0,RailJoint,RailJoint,Infrastructure,True,600,30.0,40.0,5000,10,18.5325633797823,60.7384221,15.0013028,54.8709983825684,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
4,40.0,RailJoint,RailJoint,Infrastructure,True,800,40.0,50.0,5000,10,37.43459080275882,60.7350808,15.003202,11.7290000915527,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
5,50.0,Turnout,Turnout,Infrastructure,True,1000,50.0,60.0,5000,10,36.19107784617302,60.7349145,15.0032646,0.795500040054321,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
6,60.0,Turnout,Turnout,Infrastructure,True,1200,60.0,70.0,5000,10,26.342945663345347,60.7347535,15.0033055,10.0085000991821,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
7,70.0,Normal Track,Normal Track,Normal Track,False,1400,70.0,80.0,5000,10,168.29202167997812,60.7326686,15.004685,54.4085006713867,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
8,80.0,Normal Track,Normal Track,Normal Track,False,1600,80.0,90.0,5000,10,174.66535072930236,60.72547,15.0115391,88.5780029296875,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
9,90.0,Normal Track,Normal Track,Normal Track,False,1800,90.0,100.0,5000,10,533.3288649593521,60.7171786,15.0255775,129.259506225586,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
